name,price,url
Smartphone Motorola Moto E6S 64GB Azul Navy 4G,1022.07,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-64gb-azul-navy-4g-octa-core-4gb-ram-61-cam-dupla-selfie-5mp/p/155587600/te/me6s/
Smartphone Samsung Galaxy A31 128GB Preto 4G,1439.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a31-128gb-preto-4g-octa-core-4gb-ram-tela-64-cam-quadrupla-selfie/p/155581400/te/ga31/
Smartphone Samsung Galaxy A51 128GB Cinza 4D,1619.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a51-128gb-cinza-4d-4gb-ram-65-cam-quadrupla-cam-selfie-32mp/p/155587000/te/ga51/
"iPhone 12 Apple 128GB Azul Tela 6,1”",6881.07,https://www.magazineluiza.com.br/iphone-12-apple-128gb-azul-tela-61-cam-dupla-12mp-ios/p/155598400/te/ip12/
"iPhone 12 Apple 128GB Azul Tela 6,1”",6881.07,https://www.magazineluiza.com.br/iphone-12-apple-128gb-azul-tela-61-cam-dupla-12mp-ios/p/155598400/te/ip12/
Smartphone Samsung Galaxy S20+ 128GB Cloud Blue,3699.0,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s20-128gb-cloud-blue-8gb-ram-tela-67-cam-quadrupla-selfie-10mp/p/155577600/te/gs2m/
"Smartphone Samsung Galaxy A21s 64GB 6,5"" Câmera Quádrupla 48MP 8MP 2MP 2MP Frontal 13MP Azul",1327.93,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a21s-64gb-65-camera-quadrupla-48mp-8mp-2mp-2mp-frontal-13mp-azul/p/aeckghh3kk/te/galx/
Smartphone Motorola Moto G9 Plus 128GB Azul Indigo,1859.99,https://www.magazineluiza.com.br/smartphone-motorola-moto-g9-plus-128gb-azul-indigo-octa-core-4gb-ram-68-cam-quadrupla-selfie-16mp/p/155590800/te/srmt/
"Smartphone Motorola Moto E6s 32GB Dual Chip Android 9.0 Tela Max Vision 6.1"" 4G Câmera 13MP+2MP",829.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-32gb-dual-chip-android-9-0-tela-max-vision-6-1-4g-camera-13mp-2mp/p/eh879cb24h/te/me6s/
Smartphone LG K22 32GB Titan 4G Quad-Core 2GB RAM,699.0,https://www.magazineluiza.com.br/smartphone-lg-k22-32gb-titan-4g-quad-core-2gb-ram-tela-62-cam-dupla-selfie-5mp-dual-chip/p/155587800/te/telg/
